source;title;published_at;currencies;News value;full_news_url;description
NewsBTC;Why Binance And Top Crypto Exchanges Halt Transactions With Solana Stablecoins;2022-11-17T19:52:54Z;BTC,USDT,USDC,SOL;-1;https://cryptopanic.com/news/16925121/Why-Binance-And-Top-Crypto-Exchanges-Halt-Transactions-With-Solana-Stablecoins;"<p>Binance and other top crypto exchanges halted stablecoin deposits from the Solana (SOL) blockchain. The companies released an official statement claiming that the measure will be temporary, but it could have harmful implications for the SOL ecosystem.&#160; Related Reading: Bitcoin Reserve On Binance Sharply Rises, Whales Preparing For More Dumping? Solana (SOL) trades at $13.5, with a 5% loss in...</p></body></html>"
NewsBTC;Bitcoin Long-Term Holders Face Major Financial Stress;2022-11-17T19:33:42Z;BTC,CHZ,FTT;-1;https://cryptopanic.com/news/16925079/Bitcoin-Long-Term-Holders-Face-Major-Financial-Stress;"<p>The Bitcoin and crypto market is still wallowing in turmoil from the collapse of the FTX exchange. Many crypto assets have followed a correlation with the decline of FTX Token, FTT. As a result, the past few days brought an intense bearish pull on the prices of virtual assets. With the recent events&#8217; outplay, the crypto market&#8217;s overall performance shows doubts and fear. As a result, investors...</p></body></html>"
The Daily Hodl;Top Crypto Trader Says Final Shakeout Coming Before Market Bottoms Out – Here’s the Timeline;2022-11-17T19:05:17Z;BTC;-1;https://cryptopanic.com/news/16925001/Top-Crypto-Trader-Says-Final-Shakeout-Coming-Before-Market-Bottoms-Out-Heres-the-Timeline;<p>A widely followed crypto analyst says the digital asset market has yet to hit bottom and is predicting one more shakeout before the start of another bull market cycle. Pseudonymous analyst Altcoin Sherpa tells their 187,100 Twitter followers that the crypto market’s historical performance is an unlikely predictor of how long the current bear market […]</p>
NewsBTC;Bitcoin Reserve On Binance Sharply Rises, Whales Preparing For More Dumping?;2022-11-17T19:00:47Z;BTC,XRP,QNT;0;https://cryptopanic.com/news/16925051/Bitcoin-Reserve-On-Binance-Sharply-Rises-Whales-Preparing-For-More-Dumping;"<p>On-chain data shows the Bitcoin reserve on Binance has been sharply going up in the last couple of days, something that could be a sign of dumping. Bitcoin Reserve On The Crypto Exchange Binance Has Observed Sharp Growth In Recent Days As pointed out by an analyst in a CryptoQuant post, the funding rates have been negative while these inflows have been made. The &#8220;exchange reserve&#8221; is an...</p></body></html>"
Bitcoin Magazine;Bitcoin Songsheet: How Fiat Money Ruins Civilization;2022-11-17T18:39:09Z;BTC;0;https://cryptopanic.com/news/16924910/Bitcoin-Songsheet-How-Fiat-Money-Ruins-Civilization;<p>Fiat money leads to a degradation of incentives, creating a society motivated only by the consumption of resources and zero value production.</p>
Co-founder of Ethereum;RT @glenweyl: I am delighted to be launching today the @PluralityInst: , an interdisciplinary academic technology re…;2022-11-17T18:38:52Z;ETH;0;https://cryptopanic.com/news/16924908/RT-glenweyl-I-am-delighted-to-be-launching-today-the-PluralityInst-an-interdisciplinary-academic-technology-re;
AMBCrypto;MATIC ranks third in the list of top DeFi projects by revenue, thanks to…;2022-11-17T18:30:44Z;MATIC,UNI;1;https://cryptopanic.com/news/16924909/MATIC-ranks-third-in-the-list-of-top-DeFi-projects-by-revenue-thanks-to;Polygon’s revenue increased, but TVL continued to fall MVRV Ratio and social dominance down  Polygon [MATIC] again became a hot topic in the community as it ranked third on the list of top DeFi projects in terms of revenue in the last 24 hours, only behind Uniswap [UNI] and QuickSwap [QUICK].  Despite the growth in […]
Cryptonews;Best Cryptos to Buy Now 17 November – D2T, TWT, TARO, CHZ, RIA;2022-11-17T18:24:00Z;CHZ,TWT,DASH;1;https://cryptopanic.com/news/16924879/Best-Cryptos-to-Buy-Now-17-November-D2T-TWT-TARO-CHZ-RIA;"<p>The untimely collapse of FTX and its sister company Alameda has had far-reaching implications on the cryptocurrency market. As investors go back on the drawing board, they may consider assets like Dash 2 Trade (D2T), Trust Wallet (TWT), RobotEra (TARO), Chiliz (CHZ) and Calvaria (RIA). These crypto assets could offer relief from the mess left behind by the FTX debacle....<br>
Read More: Best...</p></body></html>"
CoinTelegraph;CME Bitcoin futures trade at a discount, but is that a good or a bad thing?;2022-11-17T18:12:27Z;BTC;0;https://cryptopanic.com/news/16924852/CME-Bitcoin-futures-trade-at-a-discount-but-is-that-a-good-or-a-bad-thing;<p>CME Bitcoin futures briefly traded at a 5% discount, alarming analysts, but what does it mean for BTC price? </p>
Use The Bitcoin;El Salvador Starts Purchasing 1 Bitcoin a Day;2022-11-17T18:10:12Z;BTC;1;https://cryptopanic.com/news/16924817/El-Salvador-Starts-Purchasing-1-Bitcoin-a-Day;<p>El Salvador became the first country in the world to make Bitcoin legal tender. Now, the country became the first one to purchase 1 Bitcoin a day. This […]</p>
NewsBTC;"Ethereum Bears Roar As Price Struggles; Here Is Why Bulls Must Defend $1,000";2022-11-17T18:03:01Z;ETH,DOGE,CHZ,FTT;-1;https://cryptopanic.com/news/16924814/Ethereum-Bears-Roar-As-Price-Struggles-Here-Is-Why-Bulls-Must-Defend-1000;"<p>ETH&#8217;s price reclaims its demand zone of $1,200 as price bounces to a region of $1,250 despite market turmoil.&#160; &#160;ETH&#8217;s price continues to show strength after a bearish downtrend with the market&#8217;s current state, as things look uncertain for most traders and investors.&#160; ETH&#8217;s price bounces from a low of $1,100 on the daily timeframes as the price aims for a recovery toward the 50 Exponential...</p></body></html>"
CryptoSlate;"Research: 78% of all staked ETH is across 4 centralized providers; 74% of all blocks are OFAC compliant";2022-11-17T17:56:04Z;ETH;0;https://cryptopanic.com/news/16924761/Research-78-of-all-staked-ETH-is-across-4-centralized-providers-74-of-all-blocks-are-OFAC-compliant;<p>Ethereum (ETH) staking on-chain data shows that an estimated 78% of all staked ETH is across four centralized providers. </p>
The Daily Hodl;Top Crypto Analyst Says Historical Bottoming Signal for Bitcoin (BTC) Just Started Flashing;2022-11-17T17:55:44Z;BTC;0;https://cryptopanic.com/news/16924772/Top-Crypto-Analyst-Says-Historical-Bottoming-Signal-for-Bitcoin-BTC-Just-Started-Flashing;<p>Popular crypto strategist Kevin Svenson says one closely followed index that can indicate Bitcoin’s (BTC) market dominance is starting to flash a bottom signal. In his crypto newsletter, Svenson says the US Dollar Index (DXY) is now behaving similarly to it did back in 2015, where it correlated to a Bitcoin bottom with sideways trading. […]</p>
ZyCrypto;El Salvador And Justin Sun To Start Buying 1 BTC Every Day;2022-11-17T17:52:59Z;BTC,TRX;1;https://cryptopanic.com/news/16924775/El-Salvador-And-Justin-Sun-To-Start-Buying-1-BTC-Every-Day;The strategy of purchasing 1 BTC on a daily basis will be replicated by another optimistic long-term bitcoin investor Justin Sun — Tron founder and the ambassador of the Caribbean island of Grenada.
Tether Twitter;"RT @paoloardoino: 1/
We're humbled to have been hosted last night by the president @nayibbukele and his family. We truly share the exciteme…";2022-11-17T17:44:57Z;USDT,XAUT,EURT,USDTE,CEUSDT,MXNT,GBPT;1;https://cryptopanic.com/news/16924695/RT-paoloardoino-1-Were-humbled-to-have-been-hosted-last-night-by-the-president-nayibbukele-and-his-family-We-truly-share-the-exciteme;
CryptoNinjas;Crypto exchange Coinbase to support Easy Bank Transfers for UK users;2022-11-17T17:18:37Z;BTC;1;https://cryptopanic.com/news/16925573/Crypto-exchange-Coinbase-to-support-Easy-Bank-Transfers-for-UK-users;"<p>Coinbase, the popular bitcoin &amp; crypto exchange company, announced today it will be rolling out ‘Easy Bank Transfers’ for UK users. The new feature delivers an easy way to add funds to Coinbase accounts. Through a partnership with TrueLayer, one of Europe’s leading open banking platforms, Coinbase is able to support Easy Bank Transfers, which […]</p>
"
NewsBTC;Consultancy Uncovers Best Altcoins To Profit From FTX Collapse;2022-11-17T17:08:12Z;BTC,ETH,BNB,DOT,UNI,CHZ,XCN,TWT,CAKE,GMX,FTT;1;https://cryptopanic.com/news/16924854/Consultancy-Uncovers-Best-Altcoins-To-Profit-From-FTX-Collapse;"<p>Eight, a cryptocurrency consultancy founded by Micha&#235;l van de Poppe in 2018, has uncovered the best altcoins that can benefit from FTX&#8217;s demise. According to analysts, recent events are promoting a narrative that is strongly associated with decentralization. Following the FTX news, leading hardware wallet manufacturer Trezor and Ledger reported skyrocketing and record-breaking sales. This was...</p></body></html>"
NewsBTC;Consultancy Uncovers Best Altcoins To Profit From FTX Collapse;2022-11-17T17:08:12Z;BTC,ETH,BNB,DOT,UNI,CHZ,XCN,TWT,CAKE,GMX,FTT;1;https://cryptopanic.com/news/16924578/Consultancy-Uncovers-Best-Altcoins-To-Profit-From-FTX-Collapse;"<p>Eight, a cryptocurrency consultancy founded by Micha&#235;l van de Poppe in 2018, has uncovered the best altcoins that can benefit from FTX&#8217;s demise. According to analysts, recent events are promoting a narrative that is strongly associated with decentralization. Following the FTX news, leading hardware wallet manufacturer Trezor and Ledger reported skyrocketing and record-breaking sales. This was...</p></body></html>"
Live Bitcoin News;Celsius Gains Access to $17 Million in Crypto Funds from Prime Trust;2022-11-17T17:00:53Z;BTC;0;https://cryptopanic.com/news/16924577/Celsius-Gains-Access-to-17-Million-in-Crypto-Funds-from-Prime-Trust;<p>Crypto lending platform Celsius may have gotten a break in its recent bankruptcy case as crypto service provider Prime Trust – which held a long-term partnership with Celsius up through the summer of 2021 – has agreed to give up control of approximately $17 million of the lending company’s digital assets, thus returning them back...</p>
NewsBTC;Solana Buckles Under FTX Debris, Is Single-Digit SOL A Possibility?;2022-11-17T17:00:19Z;BTC,XRP,SOL,FTT;0;https://cryptopanic.com/news/16924653/Solana-Buckles-Under-FTX-Debris-Is-Single-Digit-SOL-A-Possibility;"<p>Solana (SOL) was one of the hardest hit blockchains by the FTX collapse. Even now, more than a week after the initial bankruptcy, SOL continues to buckle under the weight of uncertainty left among its users and investors given Sam Bankman-Fried&#8217;s (SBF) heavy involvement in the Solana blockchain. Will SOL continue to suffer or is there a reprieve on the horizon for this digital asset? Solana&#8217;s...</p></body></html>"
NewsBTC;Chiliz (CHZ) Records Higher Gains During Market Uncertainty;2022-11-17T16:50:29Z;ETH,CHZ;1;https://cryptopanic.com/news/16924535/Chiliz-CHZ-Records-Higher-Gains-During-Market-Uncertainty;"<p>Popular fan token CHZ has printed substantial gains in the last week as football fans prepare for 2022&#8217;s world cup event. As of writing, the token is trading at a 2.20% gain on the day. Plus, its week-on-week chart looks green. Specifically, the 34th largest token by market cap still keeps over 9% gains from last week.&#160; However, the fan-themed token also witnessed a sizeable decrease in...</p></body></html>"
NewsBTC;Chiliz (CHZ) Records Higher Gains During Market Uncertainty;2022-11-17T16:50:29Z;ETH,CHZ;1;https://cryptopanic.com/news/16924855/Chiliz-CHZ-Records-Higher-Gains-During-Market-Uncertainty;"<p>Popular fan token CHZ has printed substantial gains in the last week as football fans prepare for 2022&#8217;s world cup event. As of writing, the token is trading at a 2.20% gain on the day. Plus, its week-on-week chart looks green. Specifically, the 34th largest token by market cap still keeps over 9% gains from last week.&#160; However, the fan-themed token also witnessed a sizeable decrease in...</p></body></html>"
CryptoSlate;"FTX attacker continues swapping tokens; exchanges $7.95M BNB for BUSD, ETH";2022-11-17T16:32:00Z;ETH,BNB;0;https://cryptopanic.com/news/16924467/FTX-attacker-continues-swapping-tokens-exchanges-795M-BNB-for-BUSD-ETH;<p>The attackers who drained $600 million from the now-bankrupt exchange FTX, swapped nearly 30,000 tokens for (ETH) and (BUSD) on November 17. </p>
Feed - Cryptopotato.Com;Multiple Exchanges Delist USDC and USDT on Solana;2022-11-17T16:20:46Z;USDT,USDC,SOL;-1;https://cryptopanic.com/news/16924422/Multiple-Exchanges-Delist-USDC-and-USDT-on-Solana;<p>Exchanges like Binance, BitMEX, and OKX are limiting deposits and withdrawals for Solana’s top stablecoins, without explanation.</p>
NewsBTC;Dogecoin (DOGE) Lost Its Gains Amidst Market Volatility;2022-11-17T16:11:05Z;BTC,ETH,DOGE;-1;https://cryptopanic.com/news/16924394/Dogecoin-DOGE-Lost-Its-Gains-Amidst-Market-Volatility;<p>The alpha memecoin, Dogecoin (DOGE), continues to take effect of market volatility. The coin lost its previous gains following the market downtrends. The fledgling coin BTC printed over a 5% decline in the last week and ETH decreased by around 8%. Similarly, the DOGE token was down over 8% on its week-on-week chart, losing 1.27% on the day. At $0.083, Dogecoin trades dangerously close to its...</p></body></html>
NewsBTC;Dogecoin (DOGE) Lost Its Gains Amidst Market Volatility;2022-11-17T16:11:05Z;BTC,ETH,DOGE;-1;https://cryptopanic.com/news/16924429/Dogecoin-DOGE-Lost-Its-Gains-Amidst-Market-Volatility;<p>The alpha memecoin, Dogecoin (DOGE), continues to take effect of market volatility. The coin lost its previous gains following the market downtrends. The fledgling coin BTC printed over a 5% decline in the last week and ETH decreased by around 8%. Similarly, the DOGE token was down over 8% on its week-on-week chart, losing 1.27% on the day. At $0.083, Dogecoin trades dangerously close to its...</p></body></html>
CoinTelegraph;Bitcoin price target now $13.5K as BTC trader says ‘exit all the markets’;2022-11-17T16:08:35Z;BTC,FTT;0;https://cryptopanic.com/news/16924341/Bitcoin-price-target-now-135K-as-BTC-trader-says-exit-all-the-markets;<p>Bitcoin shrugs off FTX news, but analysts warn BTC and altcoins are due significant losses.</p>
NewsBTC;Bitcoin Now Trading 24% Below Realized Price, How Deeper Can It Go?;2022-11-17T16:00:19Z;BTC,XRP;-1;https://cryptopanic.com/news/16924430/Bitcoin-Now-Trading-24-Below-Realized-Price-How-Deeper-Can-It-Go;"<p>On-chain data shows Bitcoin is now trading 24% below the realized price, here&#8217;s how much deeper the crypto went during historical cycles. Bitcoin Has So Far Declined 24% Under The Realized Price As pointed out by an analyst in a CryptoQuant post, drawdowns below the realized price have been shrinking with each cycle. A popular capitalization model for Bitcoin is the &#8220;realized cap,&#8221; which...</p></body></html>"
NewsBTC;Bitcoin Now Trading 24% Below Realized Price, How Deeper Can It Go?;2022-11-17T16:00:19Z;BTC,XRP;-1;https://cryptopanic.com/news/16924856/Bitcoin-Now-Trading-24-Below-Realized-Price-How-Deeper-Can-It-Go;"<p>On-chain data shows Bitcoin is now trading 24% below the realized price, here&#8217;s how much deeper the crypto went during historical cycles. Bitcoin Has So Far Declined 24% Under The Realized Price As pointed out by an analyst in a CryptoQuant post, drawdowns below the realized price have been shrinking with each cycle. A popular capitalization model for Bitcoin is the &#8220;realized cap,&#8221; which...</p></body></html>"
Cryptonews;News Summary: Bitvo Backs Off FTX Acquisition Deal, Trust Wallet Integrates with Binance Pay, New Ethereum Climate Platform;2022-11-17T16:00:00Z;BTC,ETH,TWT,FTT;0;https://cryptopanic.com/news/16924344/News-Summary-Bitvo-Backs-Off-FTX-Acquisition-Deal-Trust-Wallet-Integrates-with-Binance-Pay-New-Ethereum-Climate-Platform;"<p>Get your daily, bite-sized digest of cryptoasset and blockchain-related news – investigating the stories flying under the radar of today’s crypto news.__________...<br>
Read More: News Summary: Bitvo Backs Off FTX Acquisition Deal, Trust Wallet Integrates with Binance Pay, New Ethereum Climate Platform</p>"
BeInCrypto;Why Binance Coin (BNB) Short-Term Price Outlook Is Not Necessarily a Reason to Cheer;2022-11-17T16:00:00Z;BNB;-1;https://cryptopanic.com/news/16924388/Why-Binance-Coin-BNB-Short-Term-Price-Outlook-Is-Not-Necessarily-a-Reason-to-Cheer;"<p>The Binance Coin (BNB) price is trading inside a short-term bullish pattern. While a breakout from it seems likely, the long-term trend indicates another nosedive will eventually occur.</p>
"
The Block;Crypto stocks sink lower as cryptocurrencies tread water;2022-11-17T15:59:40Z;BTC,USDT;-1;https://cryptopanic.com/news/16924307/Crypto-stocks-sink-lower-as-cryptocurrencies-tread-water;<p>Crypto stocks have cratered throughout the week as FTX contagion spills over into equities. </p>
OKCash Twitter;"How to add $OK • Wrapped #Okcash BSC • to your Trust Wallet 
 
#Bitcoin #Altcoins #Binance…";2022-11-17T15:40:50Z;OK,TWT;0;https://cryptopanic.com/news/16924218/How-to-add-OK-Wrapped-Okcash-BSC-to-your-Trust-Wallet-Bitcoin-Altcoins-Binance;
ChainLink Twitter;RT @TheTNetwork: Threshold Network To Integrate Chainlink Proof of Reserve to Help Securely Monitor BTC Deposits 🧵;2022-11-17T15:40:07Z;LINK,BTC;0;https://cryptopanic.com/news/16924214/RT-TheTNetwork-Threshold-Network-To-Integrate-Chainlink-Proof-of-Reserve-to-Help-Securely-Monitor-BTC-Deposits;
Decrypt;Binance Temporarily Suspends Deposits of USDC, USDT on Solana;2022-11-17T15:37:51Z;USDT,SOL;-1;https://cryptopanic.com/news/16924270/Binance-Temporarily-Suspends-Deposits-of-USDC-USDT-on-Solana;<p>Binance has yet to provide an explanation for the move, which has been mirrored by other major crypto exchanges.</p>
The Daily Hodl;XRP Holders File Amicus Brief in Support of Ripple, Say SEC Winning Lawsuit Would Harm Innocent Crypto Users;2022-11-17T15:30:40Z;XRP;0;https://cryptopanic.com/news/16924228/XRP-Holders-File-Amicus-Brief-in-Support-of-Ripple-Say-SEC-Winning-Lawsuit-Would-Harm-Innocent-Crypto-Users;"<p>Half a dozen holders of the crypto asset XRP are weighing in on the lawsuit filed by the U.S. Securities and Exchange Commission (SEC) against Ripple Labs. The six XRP holders say in an amicus brief that if the SEC is successful in its argument that the seventh-largest crypto asset by market cap is a […]</p>
"
Bitcoin.com;Sam Bankman-Fried, FTX, Alameda Were Accused of Conspiracy, Racketeering, and Market Manipulation 3 Years Before FTX Collapsed;2022-11-17T15:30:07Z;BTC,FTT;-1;https://cryptopanic.com/news/16924217/Sam-Bankman-Fried-FTX-Alameda-Were-Accused-of-Conspiracy-Racketeering-and-Market-Manipulation-3-Years-Before-FTX-Collapsed;Amid the latest bankruptcy case filed by FTX Trading Ltd., U.S. regulators want to crack down on crypto exchanges, and a class action lawsuit has been issued against former FTX CEO Sam Bankman-Fried (SBF) and 12 celebrities. However, this is not FTX’s and Alameda Research’s first rodeo with the U.S. court system and financial investigations. […]
CoinTelegraph;3 reasons why the FTX fiasco is bullish for Bitcoin;2022-11-17T15:30:00Z;BTC,LUNC,FTT;0;https://cryptopanic.com/news/16924175/3-reasons-why-the-FTX-fiasco-is-bullish-for-Bitcoin;<p>The FTX fiasco is nothing new for Bitcoin as it survived multiple exchange collapses, bear markets and even outright bans in its decade-plus existence.</p>
CoinTelegraph;Could Hong Kong really become China’s proxy in crypto?;2022-11-17T15:13:00Z;BTC,GT;0;https://cryptopanic.com/news/16924152/Could-Hong-Kong-really-become-Chinas-proxy-in-crypto;<p>With its partial autonomy, the island city of Hong Kong has traditionally served as a gate to China, but with crypto, there is a catch.  </p>
